start_date,end_date,duration_months,min_spi,avg_spi,min_ndvi,avg_ndvi
2001-07-01,2001-09-01,3,-1.361173173404215,-1.2972162067225137,0.2012316295832592,0.21565250382982773
2002-07-01,2002-09-01,3,-1.3607478573465188,-1.2551094889681726,0.22066077831104816,0.2291071715937351
2005-07-01,2005-09-01,3,-1.33507339411544,-1.2196186006141918,0.22818700798805608,0.22973056270282588
2007-07-01,2007-09-01,3,-1.363396811473188,-1.2698938139890457,0.22510833891595844,0.23159948196440658
2010-07-01,2010-09-01,3,-1.3357203728513918,-1.2501654509822124,0.23877746133230002,0.24552991507045108
2012-07-01,2012-09-01,3,-1.3083398386242873,-1.2133801530559434,0.23777000859247338,0.24175711703091482
2014-07-01,2014-09-01,3,-1.3203537926484643,-1.187482916617372,0.2319747589690822,0.240594478804536
2017-07-01,2017-09-01,3,-1.3177897949802206,-1.2177653556328447,0.23572991273944935,0.2406338996193368
2019-07-01,2019-09-01,3,-1.352202891419327,-1.2358018873841161,0.2493534199829076,0.2558720271735598
2021-07-01,2021-10-01,4,-1.318096387518409,-1.1747567174195088,0.1370178622640516,0.14174723956743343
2022-07-01,2022-09-01,3,-1.287200988323193,-1.1866166401116465,0.126491627283158,0.128757319436516
2024-07-01,2024-09-01,3,-1.3696235002705937,-1.238637718567951,0.12263373210664243,0.12543937438682037
